"","playerName","restrictedDuo"
"200","Destyn Edwards [US]","Calyrex [Ice Rider] Lunala"
"201","Riley Wilcox [US]","Kyogre Zacian"
"202","Mihrab Samad [US]","Calyrex [Shadow Rider] Koraidon"
"203","Erik Holmstrom [US]","Koraidon Zamazenta"
"204","Bradley Pham [US]","Groudon Ho-Oh"
"205","Luca Paz [US]","Calyrex [Ice Rider] Miraidon"
"206","Aaron Zheng [US]","Miraidon Zamazenta"
"207","Caelan Brown [US]","Calyrex [Shadow Rider] Zamazenta"
"208","Kshaunish Shaik [US]","Calyrex [Ice Rider] Miraidon"
"209","Dan Fitzpatrick [US]","Miraidon Zamazenta"
"210","Carter Davis [US]","Calyrex [Shadow Rider] Koraidon"
"211","Hunter Braum [US]","Lunala Miraidon"
"212","Jonathan Martin [US]","Calyrex [Shadow Rider] Zamazenta"
"213","Diego Ferreira [AU]","Calyrex [Ice Rider] Zamazenta"
"214","Jacob Tang [US]","Calyrex [Shadow Rider] Miraidon"
"215","Aurélien Soula [FR]","Miraidon Zamazenta"
"216","Jeovan Teixeira [US]","Calyrex [Shadow Rider] Zamazenta"
"217","Aaron Brok [US]","Calyrex [Shadow Rider] Zamazenta"
"218","Nate Wright [CA]","Koraidon Lunala"
"219","Sean Sumner [UK]","Calyrex [Shadow Rider] Koraidon"
"220","Aaron Grubbs [US]","Calyrex [Ice Rider] Miraidon"
"221","John Lyons [US]","Miraidon Zamazenta"
"222","David Rodriguez [CR]","Kyogre Zamazenta"
"223","Kylan Van Severen [CA]","Calyrex [Shadow Rider] Zamazenta"
"224","Will Inabinet [US]","Miraidon Zamazenta"
"225","Naoto Mizobuchi [JP]","Calyrex [Shadow Rider] Zamazenta"
"226","John Galvin [US]","Lunala Miraidon"
"227","Jarrett Major [US]","Calyrex [Shadow Rider] Koraidon"
"228","Nikola Zirdum [LU]","Calyrex [Shadow Rider] Zamazenta"
"229","Michael Zhang [US]","Koraidon Miraidon"
"230","Wolfe Glick [US]","Koraidon Lunala"
"231","Mark Grubbs [US]","Calyrex [Ice Rider] Lunala"
"232","Kurt Imhoff [US]","Calyrex [Ice Rider] Kyogre"
"233","Louis Hahn [US]","Calyrex [Shadow Rider] Miraidon"
"234","Gunther Goley [US]","Calyrex [Shadow Rider] Koraidon"
"235","Todd Hayes [US]","Calyrex [Ice Rider] Lunala"
"236","Yotam Cohen [US]","Calyrex [Shadow Rider] Zamazenta"
"237","Noel Marquez [VE]","Calyrex [Ice Rider] Miraidon"
